Feature,R_squared,Adj_R_squared,F_statistic,F_pvalue,Neurodev_coef,Neurodev_pvalue,Genetic_coef,Genetic_pvalue,Age_coef,Age_pvalue,Sex_coef,Sex_pvalue,N_samples
EEG_relative_Delta_Occipital,0.0531874809175161,,2.2891436305565,0.0620342894283912,-0.0615077742360941,0.630719104066501,-0.232246025927463,0.108249118575629,-0.00994714860321976,0.00480903548524036,0.0394605819145395,0.709370284566511,168
EEG_relative_Delta_WholeBrain,0.0497736721359155,,2.13452004018634,0.0788424297868583,-0.0850142778333603,0.507315758249948,-0.153246669447523,0.289027785989387,-0.00941994777220395,0.007613690519511,0.0809396028789127,0.445717457120998,168
EEG_relative_Theta_Frontal,0.0166140873112631,,0.688462229525807,0.600924508385385,-0.0371153631812086,0.775876964772269,-0.0225383884637384,0.877970141734792,-0.00545758430981344,0.125734353168249,0.00642625797495762,0.952499298938124,168
EEG_relative_Theta_Central,0.00615978029289554,,0.252566802950942,0.90777168269926,-0.0119818321022745,0.927148483754068,0.0431970270223495,0.769751303247497,-0.00243334379181584,0.495839076519664,0.0184712168368907,0.86476614748162,168
EEG_relative_Theta_temporal_r,0.0211244397548389,,0.879397703824677,0.477662386449309,-0.10791715099128,0.407150701715339,0.0225236529171866,0.877770885320213,-0.00493884720965421,0.16462557112739,-0.0113324768231354,0.91614771511645,168
EEG_relative_Theta_temporal_l,0.0187456390652058,,0.778477856831538,0.540676972177327,-0.0895914310581684,0.491736625503708,-0.0114402558128853,0.937809341184625,-0.00523945984944881,0.141035664075797,-0.0692359633681123,0.520821842939753,168
EEG_relative_Theta_parietal_r,0.00852772064698182,,0.350493527253527,0.84341055481141,-0.0118537957180489,0.927839033472339,-0.0133626514376229,0.927760128342568,-0.00395048248563389,0.268856378291778,-0.0266154796777915,0.805926959599914,168
EEG_relative_Theta_parietal_l,0.0127836733967779,,0.527680384613479,0.715538127449135,-0.0991671711491553,0.448083047247564,-0.0148162861592821,0.919755171479244,-0.00393017499595075,0.270289065409253,-0.0652953845681589,0.546011110441031,168
EEG_relative_Theta_Occipital,0.0102740403937229,,0.423013200755824,0.7918766698674,-0.00668738724147648,0.95921579452307,0.0663058709206229,0.652612292443765,0.000321166718314053,0.928176872727143,-0.128995198568784,0.234319116804646,168
EEG_relative_Theta_WholeBrain,0.0112937470856341,,0.465477175230792,0.760999226233804,-0.053711393195558,0.68119590614488,0.0113014558201364,0.938793864704639,-0.00400697766008745,0.261431793341633,-0.0436635489844498,0.686542141385173,168
EEG_relative_Alpha_Frontal,0.0282447758860204,,1.18442853590498,0.319636556070017,0.0877532234770976,0.498570110896109,0.259499529291228,0.0767445907230306,0.00575546822095428,0.104457370368694,-0.0637468873227072,0.552437747676034,168
EEG_relative_Alpha_Central,0.0362380810188497,,1.53222675894813,0.195212113195682,0.0371115971137453,0.773691160454132,0.317961481549402,0.0298346627958384,0.00505654656782444,0.151675542444312,0.0069690176807691,0.947971809065618,168
EEG_relative_Alpha_temporal_r,0.0210437157332616,,0.875964974036333,0.479720990939939,0.033130049161867,0.798949329509191,0.240622330421883,0.101788097303484,0.00374632424633168,0.291234926928343,0.0404910372327378,0.706841012536519,168
EEG_relative_Alpha_temporal_l,0.0276890867130457,,1.1604624283628,0.330288203346019,0.028500584861405,0.825973630054802,0.272409507556225,0.0633800799171795,0.00401310467959031,0.256740066816511,-0.0516735214506443,0.630131823711034,168
EEG_relative_Alpha_parietal_r,0.0208919071965201,,0.869510960552427,0.483608008585934,0.031265411270486,0.810054616316289,0.206009150114409,0.160825267335887,0.00519771860046585,0.143772794504011,0.0542264047127631,0.614572355688925,168
EEG_relative_Alpha_parietal_l,0.026047086381461,,1.08980501542015,0.363406946286316,0.000170045400938714,0.998954124963718,0.223800648843707,0.126866045071232,0.00548581496042252,0.122011537424016,-0.0148515507946224,0.889980469271124,168
EEG_relative_Alpha_Occipital,0.0531480881144339,,2.28735303110941,0.0622075324390796,0.0494315039826542,0.699220261821796,0.366965141249372,0.0116383889997205,0.00673023849205164,0.0548213613160577,0.0778912098847265,0.462213780556092,168
