$participant_id
x <character> 
# total N=210 valid N=210 mean=105.50 sd=60.77

Value                | N | Raw % | Valid % | Cum. %
Q1K_HSJ_1525-1192_S1 | 1 |  0.48 |    0.48 |  87.62
Q1K_HSJ_1525-1195_P  | 1 |  0.48 |    0.48 |  88.10
Q1K_HSJ_1525-1195_S1 | 1 |  0.48 |    0.48 |  88.57
Q1K_HSJ_1525-1195_S2 | 1 |  0.48 |    0.48 |  89.05
Q1K_HSJ_1525-1200_P  | 1 |  0.48 |    0.48 |  89.52
Q1K_HSJ_1525-1203_P  | 1 |  0.48 |    0.48 |  90.00
Q1K_HSJ_1525-1203_S2 | 1 |  0.48 |    0.48 |  90.48
Q1K_HSJ_1525-1203_S3 | 1 |  0.48 |    0.48 |  90.95
Q1K_HSJ_1525-1209_P  | 1 |  0.48 |    0.48 |  91.43
Q1K_HSJ_1525-1212_P  | 1 |  0.48 |    0.48 |  91.90
Q1K_HSJ_1525-1222_P  | 1 |  0.48 |    0.48 |  92.38
Q1K_HSJ_1525-1222_S1 | 1 |  0.48 |    0.48 |  92.86
Q1K_HSJ_1525-1226_P  | 1 |  0.48 |    0.48 |  93.33
Q1K_HSJ_1525-1230_P  | 1 |  0.48 |    0.48 |  93.81
Q1K_HSJ_1525-1238_P  | 1 |  0.48 |    0.48 |  94.29
Q1K_HSJ_1525-1238_S1 | 1 |  0.48 |    0.48 |  94.76
Q1K_HSJ_1525-1242_P  | 1 |  0.48 |    0.48 |  95.24
Q1K_HSJ_1525-1256_P  | 1 |  0.48 |    0.48 |  95.71
Q1K_HSJ_1525-1256_S1 | 1 |  0.48 |    0.48 |  96.19
Q1K_HSJ_1525-1261_P  | 1 |  0.48 |    0.48 |  96.67
Q1K_HSJ_1525-1264_P  | 1 |  0.48 |    0.48 |  97.14
Q1K_HSJ_1525-1267_P  | 1 |  0.48 |    0.48 |  97.62
Q1K_HSJ_1525-1270_S1 | 1 |  0.48 |    0.48 |  98.10
Q1K_HSJ_1525-1270_S2 | 1 |  0.48 |    0.48 |  98.57
Q1K_HSJ_1525-1277_P  | 1 |  0.48 |    0.48 |  99.05
Q1K_HSJ_1525-1285_P  | 1 |  0.48 |    0.48 |  99.52
Q1K_HSJ_1525-1298_P  | 1 |  0.48 |    0.48 | 100.00
<NA>                 | 0 |  0.00 |    <NA> |   <NA>

$SRS_social_cognition_tscore
x <integer> 
# total N=210 valid N=210 mean=64.80 sd=15.00

Value |  N | Raw % | Valid % | Cum. %
-------------------------------------
   39 |  5 |  2.38 |    2.38 |   2.38
   40 |  1 |  0.48 |    0.48 |   2.86
   41 |  2 |  0.95 |    0.95 |   3.81
   42 |  2 |  0.95 |    0.95 |   4.76
   43 |  3 |  1.43 |    1.43 |   6.19
   44 |  5 |  2.38 |    2.38 |   8.57
   45 |  4 |  1.90 |    1.90 |  10.48
   46 |  8 |  3.81 |    3.81 |  14.29
   47 |  5 |  2.38 |    2.38 |  16.67
   48 |  5 |  2.38 |    2.38 |  19.05
   49 |  5 |  2.38 |    2.38 |  21.43
   50 |  5 |  2.38 |    2.38 |  23.81
   51 |  1 |  0.48 |    0.48 |  24.29
   52 |  1 |  0.48 |    0.48 |  24.76
   53 |  9 |  4.29 |    4.29 |  29.05
   55 |  9 |  4.29 |    4.29 |  33.33
   57 |  9 |  4.29 |    4.29 |  37.62
   59 |  9 |  4.29 |    4.29 |  41.90
   61 |  7 |  3.33 |    3.33 |  45.24
   63 |  9 |  4.29 |    4.29 |  49.52
   65 |  4 |  1.90 |    1.90 |  51.43
   66 |  4 |  1.90 |    1.90 |  53.33
   67 |  5 |  2.38 |    2.38 |  55.71
   68 |  6 |  2.86 |    2.86 |  58.57
   69 |  7 |  3.33 |    3.33 |  61.90
   70 |  3 |  1.43 |    1.43 |  63.33
   71 |  2 |  0.95 |    0.95 |  64.29
   72 |  3 |  1.43 |    1.43 |  65.71
   73 |  2 |  0.95 |    0.95 |  66.67
   74 |  6 |  2.86 |    2.86 |  69.52
   75 |  2 |  0.95 |    0.95 |  70.48
   76 |  6 |  2.86 |    2.86 |  73.33
   77 |  1 |  0.48 |    0.48 |  73.81
   78 |  7 |  3.33 |    3.33 |  77.14
   79 |  6 |  2.86 |    2.86 |  80.00
   80 |  2 |  0.95 |    0.95 |  80.95
   81 |  2 |  0.95 |    0.95 |  81.90
   82 |  2 |  0.95 |    0.95 |  82.86
   83 |  4 |  1.90 |    1.90 |  84.76
   84 |  3 |  1.43 |    1.43 |  86.19
   85 |  5 |  2.38 |    2.38 |  88.57
   86 |  6 |  2.86 |    2.86 |  91.43
   87 |  4 |  1.90 |    1.90 |  93.33
   88 |  2 |  0.95 |    0.95 |  94.29
   90 | 12 |  5.71 |    5.71 | 100.00
 <NA> |  0 |  0.00 |    <NA> |   <NA>

$SRS_social_communication_tscore
x <integer> 
# total N=210 valid N=210 mean=65.05 sd=14.91

Value |  N | Raw % | Valid % | Cum. %
-------------------------------------
   38 |  2 |  0.95 |    0.95 |   0.95
   40 |  2 |  0.95 |    0.95 |   1.90
   41 |  3 |  1.43 |    1.43 |   3.33
   42 |  2 |  0.95 |    0.95 |   4.29
   43 |  4 |  1.90 |    1.90 |   6.19
   44 |  2 |  0.95 |    0.95 |   7.14
   45 |  7 |  3.33 |    3.33 |  10.48
   46 |  4 |  1.90 |    1.90 |  12.38
   47 |  4 |  1.90 |    1.90 |  14.29
   48 |  2 |  0.95 |    0.95 |  15.24
   49 |  7 |  3.33 |    3.33 |  18.57
   50 |  5 |  2.38 |    2.38 |  20.95
   51 |  6 |  2.86 |    2.86 |  23.81
   52 |  6 |  2.86 |    2.86 |  26.67
   53 |  6 |  2.86 |    2.86 |  29.52
   54 |  2 |  0.95 |    0.95 |  30.48
   55 |  5 |  2.38 |    2.38 |  32.86
   56 |  2 |  0.95 |    0.95 |  33.81
   57 |  2 |  0.95 |    0.95 |  34.76
   58 |  3 |  1.43 |    1.43 |  36.19
   59 |  5 |  2.38 |    2.38 |  38.57
   60 |  8 |  3.81 |    3.81 |  42.38
   61 |  1 |  0.48 |    0.48 |  42.86
   62 |  5 |  2.38 |    2.38 |  45.24
   63 |  4 |  1.90 |    1.90 |  47.14
   64 |  7 |  3.33 |    3.33 |  50.48
   65 |  6 |  2.86 |    2.86 |  53.33
   66 |  7 |  3.33 |    3.33 |  56.67
   67 |  4 |  1.90 |    1.90 |  58.57
   68 |  3 |  1.43 |    1.43 |  60.00
   69 |  2 |  0.95 |    0.95 |  60.95
   70 |  3 |  1.43 |    1.43 |  62.38
   71 |  3 |  1.43 |    1.43 |  63.81
   72 |  6 |  2.86 |    2.86 |  66.67
   73 |  5 |  2.38 |    2.38 |  69.05
   74 |  3 |  1.43 |    1.43 |  70.48
   75 |  4 |  1.90 |    1.90 |  72.38
   77 |  2 |  0.95 |    0.95 |  73.33
   78 |  5 |  2.38 |    2.38 |  75.71
   79 |  6 |  2.86 |    2.86 |  78.57
   80 |  1 |  0.48 |    0.48 |  79.05
   81 |  4 |  1.90 |    1.90 |  80.95
   82 |  5 |  2.38 |    2.38 |  83.33
   83 |  4 |  1.90 |    1.90 |  85.24
   84 |  5 |  2.38 |    2.38 |  87.62
   86 |  8 |  3.81 |    3.81 |  91.43
   90 | 18 |  8.57 |    8.57 | 100.00
 <NA> |  0 |  0.00 |    <NA> |   <NA>

$SRS_restrictive_repetitive_tscore
x <integer> 
# total N=210 valid N=210 mean=65.90 sd=15.92

Value |  N | Raw % | Valid % | Cum. %
-------------------------------------
   41 |  6 |  2.86 |    2.86 |   2.86
   42 | 10 |  4.76 |    4.76 |   7.62
   43 |  4 |  1.90 |    1.90 |   9.52
   44 |  6 |  2.86 |    2.86 |  12.38
   45 |  6 |  2.86 |    2.86 |  15.24
   46 |  4 |  1.90 |    1.90 |  17.14
   48 |  9 |  4.29 |    4.29 |  21.43
   50 |  8 |  3.81 |    3.81 |  25.24
   52 |  8 |  3.81 |    3.81 |  29.05
   53 |  3 |  1.43 |    1.43 |  30.48
   54 |  1 |  0.48 |    0.48 |  30.95
   55 |  3 |  1.43 |    1.43 |  32.38
   56 |  2 |  0.95 |    0.95 |  33.33
   57 |  2 |  0.95 |    0.95 |  34.29
   58 |  3 |  1.43 |    1.43 |  35.71
   60 |  1 |  0.48 |    0.48 |  36.19
   61 |  4 |  1.90 |    1.90 |  38.10
   62 | 14 |  6.67 |    6.67 |  44.76
   64 |  8 |  3.81 |    3.81 |  48.57
   66 |  6 |  2.86 |    2.86 |  51.43
   68 |  4 |  1.90 |    1.90 |  53.33
   69 |  4 |  1.90 |    1.90 |  55.24
   70 |  6 |  2.86 |    2.86 |  58.10
   71 |  4 |  1.90 |    1.90 |  60.00
   72 |  1 |  0.48 |    0.48 |  60.48
   73 |  2 |  0.95 |    0.95 |  61.43
   74 |  3 |  1.43 |    1.43 |  62.86
   75 |  4 |  1.90 |    1.90 |  64.76
   76 |  6 |  2.86 |    2.86 |  67.62
   78 | 13 |  6.19 |    6.19 |  73.81
   80 | 12 |  5.71 |    5.71 |  79.52
   82 |  8 |  3.81 |    3.81 |  83.33
   83 |  1 |  0.48 |    0.48 |  83.81
   84 |  2 |  0.95 |    0.95 |  84.76
   85 |  3 |  1.43 |    1.43 |  86.19
   86 |  1 |  0.48 |    0.48 |  86.67
   87 |  3 |  1.43 |    1.43 |  88.10
   88 |  1 |  0.48 |    0.48 |  88.57
   89 |  2 |  0.95 |    0.95 |  89.52
   90 | 22 | 10.48 |   10.48 | 100.00
 <NA> |  0 |  0.00 |    <NA> |   <NA>

$attention_deficit_hyperactivity_tscore
x <integer> 
# total N=210 valid N=210 mean=61.70 sd=8.68

Value |  N | Raw % | Valid % | Cum. %
-------------------------------------
   50 | 29 | 13.81 |   13.81 |  13.81
   51 | 12 |  5.71 |    5.71 |  19.52
   52 |  9 |  4.29 |    4.29 |  23.81
   53 |  5 |  2.38 |    2.38 |  26.19
   55 | 12 |  5.71 |    5.71 |  31.90
   56 |  6 |  2.86 |    2.86 |  34.76
   57 |  5 |  2.38 |    2.38 |  37.14
   58 |  5 |  2.38 |    2.38 |  39.52
   59 |  2 |  0.95 |    0.95 |  40.48
   60 | 12 |  5.71 |    5.71 |  46.19
   62 | 13 |  6.19 |    6.19 |  52.38
   63 | 11 |  5.24 |    5.24 |  57.62
   64 |  1 |  0.48 |    0.48 |  58.10
   65 |  3 |  1.43 |    1.43 |  59.52
   66 | 22 | 10.48 |   10.48 |  70.00
   67 |  3 |  1.43 |    1.43 |  71.43
   68 | 11 |  5.24 |    5.24 |  76.67
   69 | 11 |  5.24 |    5.24 |  81.90
   70 |  3 |  1.43 |    1.43 |  83.33
   72 |  9 |  4.29 |    4.29 |  87.62
   73 |  3 |  1.43 |    1.43 |  89.05
   74 |  1 |  0.48 |    0.48 |  89.52
   75 | 11 |  5.24 |    5.24 |  94.76
   76 |  2 |  0.95 |    0.95 |  95.71
   77 |  2 |  0.95 |    0.95 |  96.67
   78 |  3 |  1.43 |    1.43 |  98.10
   80 |  4 |  1.90 |    1.90 | 100.00
 <NA> |  0 |  0.00 |    <NA> |   <NA>

$cluster
x <integer> 
# total N=210 valid N=210 mean=0.57 sd=0.50

Value |   N | Raw % | Valid % | Cum. %
--------------------------------------
    0 |  90 | 42.86 |   42.86 |  42.86
    1 | 120 | 57.14 |   57.14 | 100.00
 <NA> |   0 |  0.00 |    <NA> |   <NA>

$age
x <numeric> 
# total N=210 valid N=210 mean=10.50 sd=3.32

Value | N | Raw % | Valid % | Cum. %
------------------------------------
 5.19 | 1 |  0.48 |    0.48 |   0.48
 5.32 | 1 |  0.48 |    0.48 |   0.95
 5.46 | 1 |  0.48 |    0.48 |   1.43
 5.54 | 1 |  0.48 |    0.48 |   1.90
 5.89 | 1 |  0.48 |    0.48 |   2.38
 5.90 | 1 |  0.48 |    0.48 |   2.86
 5.98 | 1 |  0.48 |    0.48 |   3.33
 6.01 | 1 |  0.48 |    0.48 |   3.81
 6.06 | 1 |  0.48 |    0.48 |   4.29
 6.07 | 1 |  0.48 |    0.48 |   4.76
 6.11 | 1 |  0.48 |    0.48 |   5.24
 6.11 | 1 |  0.48 |    0.48 |   5.71
 6.11 | 1 |  0.48 |    0.48 |   6.19
 6.12 | 1 |  0.48 |    0.48 |   6.67
 6.16 | 1 |  0.48 |    0.48 |   7.14
 6.23 | 1 |  0.48 |    0.48 |   7.62
 6.29 | 1 |  0.48 |    0.48 |   8.10
 6.32 | 1 |  0.48 |    0.48 |   8.57
 6.36 | 1 |  0.48 |    0.48 |   9.05
 6.47 | 1 |  0.48 |    0.48 |   9.52
 6.49 | 1 |  0.48 |    0.48 |  10.00
 6.50 | 2 |  0.95 |    0.95 |  10.95
 6.54 | 1 |  0.48 |    0.48 |  11.43
 6.56 | 1 |  0.48 |    0.48 |  11.90
 6.56 | 1 |  0.48 |    0.48 |  12.38
 6.58 | 1 |  0.48 |    0.48 |  12.86
 6.65 | 1 |  0.48 |    0.48 |  13.33
 6.73 | 2 |  0.95 |    0.95 |  14.29
 6.73 | 1 |  0.48 |    0.48 |  14.76
 6.75 | 1 |  0.48 |    0.48 |  15.24
 6.78 | 2 |  0.95 |    0.95 |  16.19
 6.86 | 1 |  0.48 |    0.48 |  16.67
 6.92 | 1 |  0.48 |    0.48 |  17.14
 7.01 | 1 |  0.48 |    0.48 |  17.62
 7.19 | 1 |  0.48 |    0.48 |  18.10
 7.22 | 1 |  0.48 |    0.48 |  18.57
 7.24 | 1 |  0.48 |    0.48 |  19.05
 7.30 | 1 |  0.48 |    0.48 |  19.52
 7.32 | 1 |  0.48 |    0.48 |  20.00
 7.35 | 1 |  0.48 |    0.48 |  20.48
 7.40 | 1 |  0.48 |    0.48 |  20.95
 7.46 | 1 |  0.48 |    0.48 |  21.43
 7.47 | 1 |  0.48 |    0.48 |  21.90
 7.49 | 1 |  0.48 |    0.48 |  22.38
